Date,Open,High,Low,Close,Adj Close,Volume
2016-10-24,35.400002,35.779999,34.480000,34.869999,32.677452,15698100
2016-10-31,35.060001,35.549999,33.650002,33.980000,31.843412,14672800
2016-11-07,35.009998,39.119999,34.959999,37.500000,35.142082,32506000
2016-11-14,37.599998,37.860001,35.130001,35.480000,33.249100,17350000
2016-11-21,36.070000,38.889999,35.980000,38.740002,36.304115,12791700
2016-11-28,38.380001,38.770000,37.150002,38.020000,35.629383,14206600
2016-12-05,38.500000,39.799999,37.400002,38.480000,36.060463,15190500
2016-12-12,40.009998,40.200001,36.349998,36.400002,34.111252,17456800
2016-12-19,35.970001,36.599998,35.270000,35.410000,33.183495,10566800
2016-12-26,35.570000,36.889999,35.500000,35.779999,33.530235,8421500
2017-01-02,36.959999,37.599998,36.610001,36.959999,34.636036,11017100
2017-01-09,37.029999,40.189999,36.810001,39.840000,37.334949,15533100
2017-01-16,40.130001,40.430000,39.740002,39.930000,37.419289,7683300
2017-01-23,40.299999,41.790001,40.099998,41.240002,38.646919,11980800
2017-01-30,40.770000,41.680000,39.240002,39.389999,36.913246,13973600
2017-02-06,39.419998,40.240002,38.259998,40.090000,37.569229,16387000
2017-02-13,40.529999,41.230000,39.919998,40.279999,37.747280,12528600
2017-02-20,40.590000,40.970001,37.830002,37.970001,35.582535,13886100
2017-02-27,38.240002,39.119999,37.520000,39.060001,36.603996,21034500
2017-03-06,38.389999,38.509998,35.380001,35.639999,33.399036,17314400
2017-03-13,36.389999,38.380001,35.680000,38.180000,36.545479,16679100
2017-03-20,38.110001,38.540001,36.310001,36.509998,34.946972,14212700
2017-03-27,35.419998,37.279999,35.180000,36.320000,34.765106,13794500
2017-04-03,36.490002,38.119999,35.980000,36.970001,35.387283,12322100
2017-04-10,38.009998,38.500000,36.080002,36.090000,34.544952,18278800
2017-04-17,36.349998,36.490002,35.220001,35.759998,34.229084,14680400
2017-04-24,36.349998,36.470001,34.630001,35.599998,34.075932,15220900
2017-05-01,35.799999,36.060001,33.369999,34.490002,33.013454,17190900
2017-05-08,33.950001,35.299999,33.880001,35.200001,33.693058,11576500
2017-05-15,35.740002,36.930000,35.270000,36.709999,35.138409,11526700
2017-05-22,36.889999,37.020000,35.770000,35.840000,34.305656,10684700
2017-05-29,36.009998,36.099998,34.980000,35.470001,33.951496,8064200
2017-06-05,35.189999,35.730000,34.590000,35.389999,33.874924,13047300
2017-06-12,35.380001,35.849998,34.169998,34.700001,33.214462,14501200
2017-06-19,34.840000,35.230000,33.419998,34.160000,32.697578,20202600
2017-06-26,34.320000,36.080002,33.740002,35.590000,34.066357,14996500
2017-07-03,35.939999,37.470001,35.919998,37.220001,35.626579,12941600
2017-07-10,36.770000,39.549999,36.759998,39.400002,37.713253,12063700
2017-07-17,39.639999,39.919998,38.709999,38.790001,37.129364,11751300
2017-07-24,38.740002,41.220001,38.509998,41.139999,39.378761,13882700
2017-07-31,41.540001,41.770000,40.700001,41.209999,39.445763,8330500
2017-08-07,41.500000,42.000000,39.750000,40.349998,38.622581,9454300
2017-08-14,40.610001,41.180000,39.669998,40.400002,38.670444,9836500
2017-08-21,40.610001,43.599998,40.500000,42.560001,40.737972,16124400
2017-08-28,42.830002,44.240002,42.459999,44.160000,42.269470,13039600
2017-09-04,44.299999,44.619999,42.630001,42.990002,41.149559,13265600
2017-09-11,42.980000,44.250000,41.820000,41.820000,40.817780,12747300
2017-09-18,41.900002,42.570000,41.540001,41.680000,40.681133,11692300
2017-09-25,41.549999,41.639999,39.919998,40.529999,39.558693,11759000
2017-10-02,40.779999,41.509998,40.669998,41.340000,40.349281,8749100
2017-10-09,41.680000,42.360001,40.650002,42.200001,41.188671,13301300
2017-10-16,42.990002,43.139999,41.110001,41.270000,40.280960,16341600
2017-10-23,41.270000,41.549999,40.189999,40.660000,39.685577,9784000
2017-10-30,40.669998,42.950001,40.630001,42.150002,41.139874,12855600
2017-11-06,43.240002,43.799999,42.459999,42.779999,41.754772,14911500
2017-11-13,42.369999,42.860001,40.720001,41.380001,40.388325,12683100
2017-11-20,41.000000,42.900002,40.790001,42.709999,41.686447,5665400
2017-11-27,42.529999,42.630001,41.130001,41.959999,40.954422,11579400
2017-12-04,42.080002,42.340000,40.580002,41.060001,40.075993,10048300
2017-12-11,41.540001,43.299999,41.430000,43.080002,42.047585,10677800
2017-12-18,43.320000,45.230000,42.790001,45.000000,43.921570,9476300
2017-12-25,45.029999,46.639999,44.639999,45.990002,44.887844,4786300
2018-01-01,46.750000,48.150002,46.619999,48.139999,46.986317,8802100
2018-01-08,48.509998,50.790001,48.349998,50.689999,49.475208,15408400
2018-01-15,49.849998,50.290001,48.919998,49.650002,48.460133,10792600
2018-01-22,49.360001,50.160000,48.369999,50.000000,48.801743,11875800
2018-01-29,50.259998,50.279999,47.730000,47.830002,46.683750,11031000
2018-02-05,47.889999,48.520000,44.070000,45.759998,44.663353,16671500
2018-02-12,45.980000,50.040001,45.970001,48.689999,47.523136,20739500
2018-02-19,46.980000,48.369999,46.279999,48.299999,47.142483,17910400
2018-02-26,48.730000,49.009998,44.529999,45.430000,44.341267,17170200
2018-03-05,45.099998,47.070000,44.200001,45.279999,44.194859,15461300
2018-03-12,45.400002,45.900002,44.730000,45.419998,45.419998,9956100
2018-03-19,44.840000,46.009998,43.740002,44.000000,44.000000,18087200
2018-03-26,44.660000,45.290001,43.349998,44.430000,44.430000,10266200
2018-04-02,44.400002,44.730000,43.230000,43.639999,43.639999,12442100
2018-04-09,43.459999,47.009998,43.099998,46.799999,46.799999,14481400
2018-04-16,47.049999,48.639999,46.020000,47.700001,47.700001,15345500
2018-04-23,47.410000,48.380001,46.330002,46.529999,46.529999,8838600
2018-04-30,46.630001,48.450001,45.689999,48.270000,48.270000,9037600
2018-05-07,48.259998,50.990002,47.099998,50.410000,50.410000,10869600
2018-05-14,50.950001,51.830002,50.220001,50.810001,50.810001,11786900
2018-05-21,51.310001,52.139999,48.889999,49.020000,49.020000,12666300
2018-05-28,48.360001,50.470001,47.950001,50.240002,50.240002,7599500
2018-06-04,50.560001,52.169998,50.130001,51.669998,51.669998,9899100
2018-06-11,51.840000,52.020000,48.330002,48.700001,48.700001,9838000
2018-06-18,48.310001,49.130001,47.099998,48.930000,48.930000,10997200
2018-06-25,47.880001,50.750000,47.340000,50.009998,50.009998,17950800
2018-06-29,50.360001,50.752300,49.919998,50.009998,50.009998,1389051
